02,09-12-202202:25:06,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUtemperature,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,09-12-202202:26:33,66.000,59.000,1980.000,9701.998,263.145,72.000,12.140,14658.000,73.200,17.169,52.100,0.200
80,09-12-202202:26:34,66.000,58.000,1980.000,9701.998,259.196,69.000,12.866,14659.000,72.200,15.767,52.100,0.200
80,09-12-202202:26:35,66.000,59.000,1980.000,9701.998,264.625,70.000,11.794,14660.000,73.000,15.706,52.100,0.200
80,09-12-202202:26:36,66.000,57.000,1980.000,9701.998,256.556,74.000,13.452,14660.000,73.700,15.129,52.100,0.200
80,09-12-202202:26:37,66.000,57.000,1980.000,9701.998,256.056,68.000,12.444,14658.000,74.000,14.829,52.100,0.200
80,09-12-202202:26:38,66.000,56.000,1980.000,9701.998,255.369,75.000,12.559,14658.000,73.900,14.870,52.100,0.200
80,09-12-202202:26:39,66.000,57.000,1980.000,9701.998,259.111,68.000,12.680,14657.000,73.300,14.989,52.100,0.200
80,09-12-202202:26:40,66.000,58.000,1980.000,9701.998,257.501,72.000,12.383,14666.000,73.500,16.644,52.100,0.200
80,09-12-202202:26:41,66.000,58.000,1980.000,9701.998,264.514,71.000,13.271,14665.000,73.500,17.156,52.100,0.200
80,09-12-202202:26:42,66.000,58.000,1980.000,9701.998,264.579,71.000,12.193,14663.000,74.300,15.021,52.100,0.200
80,09-12-202202:26:43,66.000,60.000,1980.000,9701.998,266.812,71.000,12.165,14662.000,75.400,14.856,52.100,0.200
80,09-12-202202:26:44,66.000,59.000,1980.000,9701.998,255.508,71.000,13.402,14672.000,74.500,16.630,52.100,0.200
80,09-12-202202:26:45,66.000,59.000,1980.000,9701.998,255.117,71.000,11.615,14660.000,75.100,15.380,52.100,0.200
80,09-12-202202:26:46,66.000,60.000,1980.000,9701.998,264.405,70.000,11.620,14666.000,75.200,16.576,52.100,0.200
80,09-12-202202:26:47,66.000,57.000,1980.000,9701.998,265.984,69.000,11.845,14672.000,76.900,16.381,52.100,0.200
80,09-12-202202:26:48,66.000,62.000,1980.000,9701.998,263.312,72.000,11.300,14664.000,79.300,14.273,52.100,0.200
80,09-12-202202:26:49,66.000,59.000,1980.000,9701.998,268.585,72.000,12.334,14716.000,77.600,17.423,52.200,0.200
80,09-12-202202:26:50,66.000,62.000,1980.000,9701.998,265.120,72.000,12.484,14704.000,79.300,13.936,52.200,0.200
80,09-12-202202:26:51,67.000,61.000,1980.000,9701.998,267.373,70.000,11.941,14703.000,78.900,16.827,52.200,0.200
80,09-12-202202:26:52,67.000,62.000,1980.000,9701.998,269.045,70.000,11.807,14706.000,79.600,15.941,52.200,0.200
80,09-12-202202:26:53,66.000,53.000,1980.000,9701.998,261.728,68.000,11.660,14717.000,79.300,16.521,52.200,0.200
80,09-12-202202:26:54,66.000,54.000,1980.000,9701.998,262.589,75.000,14.590,14726.000,74.000,16.840,52.200,0.200
80,09-12-202202:26:55,66.000,55.000,1980.000,9701.998,262.750,79.000,11.256,14724.000,81.600,17.649,52.200,0.200
80,09-12-202202:26:56,66.000,57.000,1980.000,9701.998,264.107,71.000,13.424,14729.000,79.800,16.858,52.200,0.200
80,09-12-202202:26:57,66.000,64.000,1980.000,9701.998,268.502,70.000,11.860,14727.000,79.700,15.444,52.200,0.200
80,09-12-202202:26:58,66.000,54.000,1965.000,9701.998,259.160,70.000,12.396,14743.000,75.400,26.851,52.200,0.200
80,09-12-202202:26:59,66.000,60.000,1980.000,9701.998,260.808,70.000,14.861,14731.000,74.000,18.650,52.200,0.200
80,09-12-202202:27:00,66.000,59.000,1980.000,9701.998,268.585,71.000,11.339,14725.000,77.800,14.527,52.200,0.200
80,09-12-202202:27:01,66.000,51.000,1980.000,9701.998,247.966,70.000,13.297,14730.000,68.800,24.293,52.100,0.200
