02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:35:00,71.000,100.000,1950.000,9701.998,319.953,12.627,21047.000,102.500,11.469,84.000,0.600
80,08-12-202212:35:01,71.000,100.000,1950.000,9701.998,323.563,11.051,21047.000,100.900,11.366,84.000,0.600
80,08-12-202212:35:02,71.000,100.000,1950.000,9701.998,325.354,11.613,21047.000,100.800,11.175,84.000,0.600
80,08-12-202212:35:03,71.000,100.000,1950.000,9701.998,320.843,12.484,21047.000,101.100,11.192,84.000,0.600
80,08-12-202212:35:04,71.000,100.000,1950.000,9701.998,325.999,12.562,21046.000,103.100,11.406,84.000,0.600
80,08-12-202212:35:05,71.000,100.000,1950.000,9701.998,323.238,11.922,21046.000,103.500,10.638,84.000,0.600
80,08-12-202212:35:06,71.000,100.000,1950.000,9701.998,324.037,11.403,21046.000,102.900,10.491,84.000,0.600
80,08-12-202212:35:07,71.000,100.000,1950.000,9701.998,326.786,13.028,21046.000,103.600,10.985,84.000,0.600
80,08-12-202212:35:08,71.000,100.000,1950.000,9701.998,326.922,12.499,21046.000,104.100,10.492,84.000,0.600
80,08-12-202212:35:09,71.000,100.000,1950.000,9701.998,326.370,11.620,21046.000,104.000,10.786,84.000,0.600
80,08-12-202212:35:10,71.000,100.000,1950.000,9701.998,326.121,11.830,21045.000,104.100,10.565,84.000,0.600
80,08-12-202212:35:11,71.000,100.000,1950.000,9701.998,324.544,11.526,21045.000,103.700,11.046,84.000,0.600
80,08-12-202212:35:12,71.000,100.000,1950.000,9701.998,321.616,12.491,21045.000,103.700,11.019,84.000,0.600
80,08-12-202212:35:13,71.000,100.000,1950.000,9701.998,321.173,11.682,21042.000,103.500,10.729,84.100,0.600
80,08-12-202212:35:14,71.000,100.000,1950.000,9701.998,322.835,11.615,21039.000,103.500,11.214,84.100,0.600
80,08-12-202212:35:15,71.000,100.000,1965.000,9701.998,320.954,11.542,21040.000,103.200,10.961,84.100,0.600
80,08-12-202212:35:16,71.000,100.000,1950.000,9701.998,321.342,12.445,21039.000,103.900,10.534,84.100,0.600
80,08-12-202212:35:17,71.000,100.000,1950.000,9701.998,323.989,11.554,21039.000,104.300,10.612,84.100,0.600
80,08-12-202212:35:18,70.000,100.000,1950.000,9701.998,323.621,11.290,21039.000,104.200,10.771,84.100,0.600
80,08-12-202212:35:19,71.000,100.000,1950.000,9701.998,322.593,11.680,21020.000,104.000,10.852,84.100,0.600
80,08-12-202212:35:20,71.000,100.000,1950.000,9701.998,326.202,11.524,21018.000,104.900,10.724,84.100,0.600
80,08-12-202212:35:21,71.000,100.000,1950.000,9701.998,321.760,11.560,21018.000,104.400,10.820,84.100,0.600
80,08-12-202212:35:22,71.000,100.000,1950.000,9701.998,320.999,12.850,21018.000,103.900,10.565,84.100,0.600
80,08-12-202212:35:23,71.000,100.000,1950.000,9701.998,322.951,11.654,21018.000,103.100,10.588,84.100,0.600
80,08-12-202212:35:24,71.000,100.000,1950.000,9701.998,321.630,11.520,21018.000,103.100,10.629,84.100,0.600
80,08-12-202212:35:25,71.000,100.000,1950.000,9701.998,319.509,11.841,21019.000,103.700,10.698,84.100,0.600
80,08-12-202212:35:26,71.000,100.000,1950.000,9701.998,322.012,12.581,21019.000,103.000,11.251,84.100,0.600
80,08-12-202212:35:27,71.000,100.000,1965.000,9701.998,324.565,11.658,21019.000,102.600,10.697,84.100,0.600
80,08-12-202212:35:28,71.000,100.000,1965.000,9701.998,324.176,11.545,21023.000,102.900,11.508,84.100,0.600
80,08-12-202212:35:29,71.000,100.000,1950.000,9701.998,318.516,11.873,21023.000,102.100,11.142,84.100,0.600
80,08-12-202212:35:30,71.000,100.000,1950.000,9701.998,328.674,11.846,21023.000,101.900,11.138,84.100,0.600
80,08-12-202212:35:31,71.000,100.000,1965.000,9701.998,323.331,12.075,21020.000,101.300,10.886,84.100,0.600
80,08-12-202212:35:32,71.000,100.000,1965.000,9701.998,318.194,11.325,21022.000,101.700,10.877,84.100,0.600
80,08-12-202212:35:33,71.000,100.000,1965.000,9701.998,323.212,11.570,21022.000,101.600,10.929,84.100,0.600
80,08-12-202212:35:34,71.000,100.000,1965.000,9701.998,326.204,11.976,21022.000,101.200,10.576,84.100,0.600
80,08-12-202212:35:35,71.000,100.000,1965.000,9701.998,322.813,12.055,21022.000,101.000,10.971,84.100,0.600
80,08-12-202212:35:36,71.000,100.000,1950.000,9701.998,318.690,12.164,21025.000,101.300,10.994,84.100,0.600
80,08-12-202212:35:37,71.000,100.000,1965.000,9701.998,320.381,11.509,21023.000,101.300,10.871,84.100,0.600
80,08-12-202212:35:38,71.000,100.000,1965.000,9701.998,327.408,11.810,21023.000,101.500,11.440,84.100,0.600
80,08-12-202212:35:39,71.000,100.000,1965.000,9701.998,320.984,11.780,21023.000,101.200,10.845,84.100,0.600
80,08-12-202212:35:40,71.000,100.000,1965.000,9701.998,322.059,13.706,21026.000,101.800,11.042,84.200,0.600
80,08-12-202212:35:41,71.000,100.000,1950.000,9701.998,318.623,12.601,21026.000,99.700,10.993,84.200,0.600
80,08-12-202212:35:42,71.000,100.000,1950.000,9701.998,321.763,12.135,21032.000,100.800,10.944,84.200,0.600
80,08-12-202212:35:43,71.000,100.000,1965.000,9701.998,325.605,14.033,21031.000,101.300,10.964,84.200,0.600
80,08-12-202212:35:44,71.000,100.000,1965.000,9701.998,321.795,11.120,21031.000,101.500,10.895,84.200,0.600
